id,codigoBarras,codigoLocal,nombre,descripcion,precioPublico,precioMayorista,tipoUnidad,cantidadInventario,anioCaducidad,mesCaducidad,diaCaducidad,presentacion,piezasPorPresentacion
49,56920261258,5451,Producto 49,Descripcion 49,16.1595,11.3117,0,40,2027,1,3,2,12
50,58080380337,5562,Producto 50,Descripcion 50,16.6405,11.6483,0,24,2028,1,1,2,24
51,59240499416,5673,Producto 51,Descripcion 51,17.1214,11.985,0,16,2030,1,2,2,36
52,60400618495,5784,Producto 52,Descripcion 52,17.6024,12.3217,0,3,2026,1,3,2,6
53,61560737574,5895,Producto 53,Descripcion 53,18.0833,12.6583,0,20,2027,6,4,2,10
54,62720856653,6006,Producto 54,Descripcion 54,18.5643,12.995,0,15,2028,3,3,2,84
55,63880975732,6117,Producto 55,Descripcion 55,19.0452,13.3317,0,25,2030,3,31,2,72
56,65041094811,6228,Producto 56,Descripcion 56,19.5262,13.6683,0,20,2026,7,1,2,84
57,66201213890,6339,Producto 57,Descripcion 57,20.0071,14.005,0,5,2027,3,2,2,96
58,67361332969,6450,Producto 58,Descripcion 58,20.4881,14.3417,0,4,2028,3,3,2,12
59,68521452048,6561,Producto 59,Descripcion 59,20.969,14.6783,0,15,2030,3,4,2,24
60,69681571127,6672,Producto 60,Descripcion 60,21.45,15.02,1,37,2026,7,3,2,36
61,70841690206,6783,Producto 61,Descripcion 61,21.931,15.3517,0,24,2027,3,1,2,6
62,72001809285,6894,Producto 62,Descripcion 62,22.4119,15.6883,0,16,2028,3,2,2,10
63,73161928364,7005,Producto 63,Descripcion 63,22.8929,16.025,0,30,2026,3,3,2,6
64,74322047443,7116,Producto 64,Descripcion 64,23.3738,16.3617,0,20,2027,3,4,2,10
65,75482166522,7227,Producto 65,Descripcion 65,23.85,16.7,1,14,2028,3,3,2,12
